1|Boss_Researcher|Narration|[최후의 진실]|1.5
2||Narration|어두운 연구실. 깜빡이는 형광등 아래, 한 사람이 서 있다.|2.0
3||Narration|낡은 실험복. 피로 얼룩진 손. 그가 당신을 바라본다.|2.0
4||연구원| 드디어... 왔군.|1.5
5||Narration|그의 목소리는 떨리지만, 눈빛은 확고하다.|2.0
6||연구원| 우리가 너를 만들었다. 인류를 구원하기 위해.|2.0
7||연구원| 하지만... 넌 단지 도구일 뿐이야.|2.0
8||System| 최종 오염원 확인. 정화를 시작하세요.|2.0
9||연구원| 정화? 네가 하는 건 학살이야!|2.0
10||연구원| 넌 구원자가 아니라... 파괴자다!|2.0
11|Boss_Button|연구원| 이제 네가 진짜 무엇인지 보여주겠어.|2.0
12||QTE|스페이스바를 누르세요! 제한 시간: {time}|1.5
13||Narration|전투 태세 완료. 전투가 시작된다.|2.0
14||Narration|반응 실패. 죄책감이 스며든다.|2.0
15||System| 전투를 시작합니다.|1.5
